date,restaurant_id,restaurant_type,menu_item_name,meal_type,key_ingredients_tags,typical_ingredient_cost,observed_market_price,actual_selling_price,quantity_sold,has_promotion,special_event,weather_condition,month,day_name,is_weekend,year,day,day_of_week,week_of_year,quarter,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_mean_14,rolling_std_7,rolling_std_14,price_difference,profit_estimate,group_lag_1,group_lag_2,group_lag_3,group_lag_7,group_lag_14,group_lag_21,group_lag_30,group_roll_mean_3,group_roll_std_3,group_roll_mean_7,group_roll_std_7,group_roll_mean_14,group_roll_std_14,ema_3,ema_7,ema_14,sin_day,cos_day,sin_month,cos_month,promotion_weekend,event_weekend,profit_margin,market_gap,price_ratio,predicted_quantity,prediction_error,actual_revenue,predicted_revenue,estimated_profit,inventory_recommendation,food_waste_risk,demand_category
2024-03-23,18,3,10,1,"flour, ghee, egg, water, curry",0.8,1.96,2.56,387.0,0,0,2,3,Saturday,1,2024,23,5,12,1,331.0,209.0,309.0,234.0,322.42857142857144,258.14285714285717,130.37363887797963,145.687683415248,0.6000000000000001,1.76,905.0,84.0,263.0,747.0,371.0,358.0,711.0,458.6666666666667,415.1654288754464,441.57142857142856,269.54829940900345,403.14285714285717,230.25699927317243,473.44552447201943,445.81119601860945,422.197658049191,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0,0,1.76,0.6000000000000001,0.8648648648648649,386.9866,0.013397216796875,990.72,990.685703125,681.0964208984375,MEDIUM INVENTORY REQUIRED,LOW FOOD WASTE RISK,MEDIUM DEMAND
2024-03-25,18,3,10,0,"flour, ghee, egg, water, curry",0.8,1.91,2.85,336.0,0,0,0,3,Monday,0,2024,25,0,13,1,989.0,155.0,213.0,296.0,352.14285714285717,299.7857142857143,301.29853886769786,248.75974772441035,0.9400000000000002,2.05,387.0,905.0,84.0,616.0,360.0,465.0,301.0,542.6666666666666,314.82428961776975,401.57142857142856,259.9543916041538,401.42857142857144,230.69184050313802,404.7227622200089,418.3556390366587,410.5854630340335,0.0,1.0,1.0,6.123233995736766e-17,0,0,2.05,0.9400000000000002,0.979381443298969,335.9969,0.00311279296875,957.6,957.5911285400391,688.793618774414,MEDIUM INVENTORY REQUIRED,MEDIUM FOOD WASTE RISK,MEDIUM DEMAND
2024-03-30,18,3,10,0,"flour, ghee, egg, water, curry",0.8,1.64,2.39,641.0,0,0,2,3,Saturday,1,2024,30,5,13,1,784.0,55.0,291.0,182.0,448.7142857142857,337.92857142857144,302.63383501392934,257.5402774431497,0.7500000000000002,1.59,336.0,387.0,905.0,534.0,271.0,247.0,373.0,454.6666666666667,163.37176418626737,416.85714285714283,271.91017424352276,427.85714285714283,235.73905297786598,522.8613811237576,474.0209230621006,441.5831082887989,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0,0,1.59,0.7500000000000002,0.9053030303030305,640.98224,0.01776123046875,1531.99,1531.9475506591798,1019.1617596435548,HIGH INVENTORY REQUIRED,LOW FOOD WASTE RISK,HIGH DEMAND
2024-03-30,18,3,10,0,"flour, ghee, egg, water, curry",0.8,1.6,2.34,552.0,0,0,2,3,Saturday,1,2024,30,5,13,1,55.0,313.0,424.0,200.0,261.2857142857143,252.07142857142858,196.17145076498318,198.56890464045537,0.7399999999999998,1.5399999999999998,641.0,336.0,387.0,302.0,191.0,312.0,353.0,509.6666666666667,156.84493403783677,452.57142857142856,270.7254803565519,453.64285714285717,227.43540321894181,537.4306905627269,493.5167939008039,456.41972894802296,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0,0,1.5399999999999998,0.7399999999999998,0.8999999999999999,551.9357,0.06427001953125,1291.6799999999998,1291.5296081542967,849.9810241699217,HIGH INVENTORY REQUIRED,LOW FOOD WASTE RISK,HIGH DEMAND
2024-04-01,18,3,10,0,"flour, ghee, egg, water, curry",0.8,1.64,2.06,412.0,0,0,0,4,Monday,0,2024,1,0,14,2,236.0,278.0,0.0,0.0,329.0,295.85714285714283,190.54133409840534,149.82957351237877,0.42000000000000015,1.26,552.0,641.0,336.0,263.0,216.0,355.0,905.0,535.0,115.44262644274876,473.85714285714283,258.93720511057546,467.64285714285717,217.49716431143761,474.71534527953816,473.13673175184766,450.4572648691812,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,0,1.26,0.42000000000000015,0.7803030303030304,411.99887,0.001129150390625,848.72,848.7176739501954,519.1185772705078,MEDIUM INVENTORY REQUIRED,LOW FOOD WASTE RISK,MEDIUM DEMAND
2024-04-03,36,3,12,1,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,13.75,25.65,0.0,0,0,0,4,Wednesday,0,2024,3,2,14,2,1066.0,34.0,212.0,183.0,319.14285714285717,264.0,369.62973751734717,269.25595486594085,11.899999999999999,18.65,163.0,191.0,7.0,0.0,0.0,43.0,59.0,118.0,103.145528259833,160.0,122.73820377806848,114.14285714285714,108.82650775986883,80.86101175000007,116.09421506326582,118.65014217246097,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0,0,18.65,11.899999999999999,1.7389830508474575,0.05563875,-0.05563874915242195,0.0,1.427133915759623,1.0376626716926693,LOW INVENTORY REQUIRED,HIGH FOOD WASTE RISK,LOW DEMAND
2024-04-05,50,3,12,1,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,18.13,19.52,300.0,0,1,2,4,Friday,0,2024,5,4,14,2,197.0,131.0,69.0,487.0,306.57142857142856,317.2857142857143,266.4312651466023,248.5590561528678,1.3900000000000006,12.52,119.0,269.0,163.0,300.0,191.0,55.0,0.0,229.33333333333334,96.80048209246335,184.28571428571428,84.27279965626366,152.07142857142858,93.12395732877458,234.7998288128524,199.89013926616738,171.68565612609464,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0,0,12.52,1.3900000000000006,1.0203868269733403,299.99017,0.00982666015625,5856.0,5855.80818359375,3755.876970214844,MEDIUM INVENTORY REQUIRED,MEDIUM FOOD WASTE RISK,MEDIUM DEMAND
2024-04-06,36,3,12,1,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,17.47,26.97,196.0,0,0,2,4,Saturday,1,2024,6,5,14,2,176.0,348.0,329.0,328.0,203.42857142857142,306.7142857142857,87.1203327642427,217.08857765771717,9.5,19.97,0.0,163.0,191.0,242.0,0.0,64.0,133.0,119.66666666666667,104.93966520498026,153.42857142857142,118.78391746199922,128.14285714285714,105.57159957755039,138.43050588840399,136.07266818152723,129.07039782459836,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,0,0,19.97,9.5,1.460205739036275,195.99155,0.008453369140625,5286.12,5285.892012634277,3913.9511862182617,LOW INVENTORY REQUIRED,MEDIUM FOOD WASTE RISK,LOW DEMAND
2024-04-08,50,3,12,1,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,16.69,19.77,180.0,1,0,0,4,Monday,0,2024,8,0,15,2,135.0,519.0,310.0,196.0,201.28571428571428,315.35714285714283,145.14327896451638,193.39978806084085,3.0799999999999983,12.77,300.0,119.0,269.0,63.0,109.0,144.0,129.0,199.66666666666666,92.08872533233003,201.0,65.78246980262537,157.14285714285714,92.52929444057342,207.39991440004667,194.9171048962599,172.80573043753094,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,0,12.77,3.0799999999999983,1.1175805539853023,180.0095,-0.0095062255859375,3558.6,3558.787938079834,2298.7213945007325,LOW INVENTORY REQUIRED,MEDIUM FOOD WASTE RISK,LOW DEMAND
2024-04-10,50,3,12,1,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,14.71,18.71,328.0,1,0,1,4,Wednesday,0,2024,10,2,15,2,398.0,115.0,106.0,171.0,249.42857142857142,233.28571428571428,132.88448259404004,150.8409394394952,4.0,11.71,180.0,300.0,119.0,152.0,164.0,249.0,53.0,269.3333333333333,78.6214559349629,226.14285714285714,76.66687370572446,168.85714285714286,103.22705156994546,267.6999572070432,228.1903354547358,193.6840004321902,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0,0,11.71,4.0,1.1909611712285169,327.99167,0.008331298828125,6136.88,6136.724121398926,3840.782440490723,MEDIUM INVENTORY REQUIRED,MEDIUM FOOD WASTE RISK,MEDIUM DEMAND
